GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
API,com.example.API.model,User,0,59,0,0,0,25,0,13,0,13
API,com.example.API.controller,UserController,25,3,0,0,7,1,4,1,4,1
API,com.example.API.controller,JacocoController,0,3,0,0,0,1,0,1,0,1
API,com.example.API.controller,SwaggerController,2,3,0,0,1,1,1,1,1,1
API,com.example.API,ApiApplication,5,3,0,0,2,1,1,1,1,1
API,com.example.API.service,UserService,7,55,0,0,0,15,1,5,1,5
